decode_tokens,baseline_mean,baseline_std,n_baseline,grc_k1024_mean,grc_k1024_std,grc_k1024_ratio,grc_k1536_mean,grc_k1536_std,grc_k1536_ratio,grc_k2048_mean,grc_k2048_std,grc_k2048_ratio
128,36.175,0.05,4,38.525,0.05,1.065,34.15,4.668,0.944,36.1,1.402,0.9979
256,36.025,0.05,4,38.2,0.0,1.0604,36.275,1.193,1.0069,36.85,1.038,1.0229
