"rank","mean_decode_pct_of_baseline","mean_overall_pct_of_baseline","mean_prefill_pct_of_baseline"
"1024","106.267061135683","105.71960436341","102.671033323963"
"1536","97.5472887747866","95.8007755902596","114.608177651814"
"2048","101.039173868203","99.344177062678","108.481636229234"
