tag,rep,tps,duration_s,returncode
baseline,1,39.2,5.11,0
baseline,2,39.3,5.00,0
baseline,3,39.3,5.01,0
baseline,4,39.3,5.01,0
mcr,1,39.3,5.01,0
mcr,2,39.2,5.04,0
mcr,3,39.2,5.07,0
mcr,4,39.2,5.03,0
